Plan ID,Insurance Company,Plan Name,Age,Rating Area,Metal Level,Market Place,Non-Tobacco Premium,Tobacco Premium,Counties,Rating Area Centroid
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,24,Rating Area 1,Silver,On,585.23,637.90,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,25,Rating Area 1,Silver,On,587.57,640.45,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,26,Rating Area 1,Silver,On,599.27,653.21,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,27,Rating Area 1,Silver,On,613.32,668.52,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,28,Rating Area 1,Silver,On,636.14,693.40,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,29,Rating Area 1,Silver,On,654.87,713.81,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,30,Rating Area 1,Silver,On,664.23,724.02,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,31,Rating Area 1,Silver,On,678.28,739.33,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,32,Rating Area 1,Silver,On,692.33,754.64,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,33,Rating Area 1,Silver,On,701.10,764.20,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,34,Rating Area 1,Silver,On,710.47,774.41,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,35,Rating Area 1,Silver,On,715.15,779.51,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,36,Rating Area 1,Silver,On,719.83,784.62,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,37,Rating Area 1,Silver,On,724.51,789.72,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,38,Rating Area 1,Silver,On,729.20,794.82,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,39,Rating Area 1,Silver,On,738.56,805.03,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,40,Rating Area 1,Silver,On,747.92,815.24,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,41,Rating Area 1,Silver,On,761.97,830.55,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,42,Rating Area 1,Silver,On,775.43,845.22,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,43,Rating Area 1,Silver,On,794.16,865.63,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,44,Rating Area 1,Silver,On,817.56,891.15,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,45,Rating Area 1,Silver,On,845.07,921.13,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,46,Rating Area 1,Silver,On,877.84,956.85,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,47,Rating Area 1,Silver,On,914.71,997.04,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,48,Rating Area 1,Silver,On,956.85,1042.97,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,49,Rating Area 1,Silver,On,998.40,1088.26,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,50,Rating Area 1,Silver,On,1045.22,1139.29,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,51,Rating Area 1,Silver,On,1091.45,1189.68,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,52,Rating Area 1,Silver,On,1142.37,1245.18,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,53,Rating Area 1,Silver,On,1193.87,1301.31,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,54,Rating Area 1,Silver,On,1249.46,1361.92,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,55,Rating Area 1,Silver,On,1305.06,1422.52,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,56,Rating Area 1,Silver,On,1365.34,1488.22,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,57,Rating Area 1,Silver,On,1426.20,1554.56,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,58,Rating Area 1,Silver,On,1491.16,1625.37,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,59,Rating Area 1,Silver,On,1523.35,1660.45,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,60,Rating Area 1,Silver,On,1588.31,1731.26,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,61,Rating Area 1,Silver,On,1644.49,1792.50,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,62,Rating Area 1,Silver,On,1681.36,1832.69,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,63,Rating Area 1,Silver,On,1727.60,1883.08,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,64,Rating Area 1,Silver,On,1755.69,1913.70,"Boone, Calhoun, Carroll, Greene, Grundy, Hamilton, Hardin, Marshall, Poweshiek, Story, Tama, Webster","(42.16, -93.6)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,14,Rating Area 2,Silver,On,436.34,475.61,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,15,Rating Area 2,Silver,On,475.12,517.88,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,16,Rating Area 2,Silver,On,489.95,534.05,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,17,Rating Area 2,Silver,On,504.78,550.21,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,18,Rating Area 2,Silver,On,520.75,567.62,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,19,Rating Area 2,Silver,On,536.72,585.03,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,20,Rating Area 2,Silver,On,553.26,603.06,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,21,Rating Area 2,Silver,On,570.39,621.72,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,22,Rating Area 2,Silver,On,570.38,621.71,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,23,Rating Area 2,Silver,On,570.38,621.71,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,24,Rating Area 2,Silver,On,570.38,621.71,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,25,Rating Area 2,Silver,On,572.66,624.20,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,26,Rating Area 2,Silver,On,584.06,636.63,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,27,Rating Area 2,Silver,On,597.75,651.55,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,28,Rating Area 2,Silver,On,620.00,675.80,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,29,Rating Area 2,Silver,On,638.25,695.69,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,30,Rating Area 2,Silver,On,647.38,705.64,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,31,Rating Area 2,Silver,On,661.06,720.56,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,32,Rating Area 2,Silver,On,674.75,735.48,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,33,Rating Area 2,Silver,On,683.31,744.81,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,34,Rating Area 2,Silver,On,692.44,754.75,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,35,Rating Area 2,Silver,On,697.00,759.73,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,36,Rating Area 2,Silver,On,701.56,764.70,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,37,Rating Area 2,Silver,On,706.12,769.68,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,38,Rating Area 2,Silver,On,710.69,774.65,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,39,Rating Area 2,Silver,On,719.81,784.60,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,40,Rating Area 2,Silver,On,728.94,794.54,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,41,Rating Area 2,Silver,On,742.63,809.47,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,42,Rating Area 2,Silver,On,755.75,823.76,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,43,Rating Area 2,Silver,On,774.00,843.66,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,44,Rating Area 2,Silver,On,796.81,868.53,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,45,Rating Area 2,Silver,On,823.62,897.75,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,46,Rating Area 2,Silver,On,855.56,932.56,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,47,Rating Area 2,Silver,On,891.50,971.73,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,48,Rating Area 2,Silver,On,932.56,1016.49,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,49,Rating Area 2,Silver,On,973.06,1060.64,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,50,Rating Area 2,Silver,On,1018.69,1110.37,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,51,Rating Area 2,Silver,On,1063.75,1159.49,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,52,Rating Area 2,Silver,On,1113.37,1213.58,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,53,Rating Area 2,Silver,On,1163.57,1268.29,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,54,Rating Area 2,Silver,On,1217.75,1327.35,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,55,Rating Area 2,Silver,On,1271.94,1386.41,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,56,Rating Area 2,Silver,On,1330.69,1450.45,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,57,Rating Area 2,Silver,On,1390.00,1515.11,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,58,Rating Area 2,Silver,On,1453.32,1584.11,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,59,Rating Area 2,Silver,On,1484.69,1618.31,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,60,Rating Area 2,Silver,On,1548.00,1687.32,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,61,Rating Area 2,Silver,On,1602.75,1747.00,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,62,Rating Area 2,Silver,On,1638.69,1786.17,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,63,Rating Area 2,Silver,On,1683.75,1835.29,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,64,Rating Area 2,Silver,On,1711.13,1865.13,"Dallas, Jasper, Madison, Marion, Polk, Warren","(41.52, -93.54)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,14,Rating Area 3,Silver,On,434.52,473.63,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,15,Rating Area 3,Silver,On,473.14,515.73,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,16,Rating Area 3,Silver,On,487.91,531.82,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,17,Rating Area 3,Silver,On,502.68,547.92,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,18,Rating Area 3,Silver,On,518.58,565.26,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,19,Rating Area 3,Silver,On,534.49,582.59,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,20,Rating Area 3,Silver,On,550.96,600.55,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,21,Rating Area 3,Silver,On,568.01,619.13,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,22,Rating Area 3,Silver,On,568.00,619.12,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,23,Rating Area 3,Silver,On,568.00,619.12,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,24,Rating Area 3,Silver,On,568.00,619.12,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,25,Rating Area 3,Silver,On,570.27,621.60,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,26,Rating Area 3,Silver,On,581.63,633.98,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,27,Rating Area 3,Silver,On,595.26,648.84,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,28,Rating Area 3,Silver,On,617.41,672.98,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
93078IA0010003,Medica Insurance Company,Medica Insure Silver Copay,29,Rating Area 3,Silver,On,635.59,692.79,"Buena Vista, Cherokee, Clay, Crawford, Dickinson, Ida, Lyon, Monona, OBrien, Osceola, Palo Alto, Plymouth, Pocahontas, Sac, Sioux, Woodbury","(42.47, -95.58)"
